startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean,sector_final,sector_clean_old
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,2023-04-19,2023,4,Edtech,Seed/Angel,Mumbai,Edtech,Edtech
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,2025-01-28,2025,1,Other,Seed/Angel,Bengaluru,Other,Other
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,2021-03-14,2021,3,EV/Cleantech,Series B,Hyderabad,EV/Cleantech,EV/Cleantech
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,2023-09-11,2023,9,Other,Seed/Angel,Delhi/NCR,Other,Other
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,2024-01-31,2024,1,Proptech,Seed/Angel,Mumbai,Proptech,Proptech
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,2021-07-24,2021,7,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000,2023-01-12,2023,1,Ecommerce/D2C,Seed/Angel,Mumbai,Ecommerce/D2C,Ecommerce/D2C
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22,2025,1,Other,Late Stage,Delhi/NCR,Other,Other
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000,2023-11-27,2023,11,Foodtech,Seed/Angel,Kolkata,Foodtech,Foodtech
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,2020-05-04,2020,5,Edtech,Series B,Ahmedabad,Edtech,Edtech
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,2020-05-19,2020,5,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,2023-04-10,2023,4,Fintech,Seed/Angel,Mumbai,Fintech,Fintech
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,2023-10-07,2023,10,SaaS/Enterprise,Seed/Angel,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23,2020,7,Fintech,Debt,Ahmedabad,Fintech,Fintech
